Order_ID,Order_Date,Customer_ID,Product,Category,Region,Payment_Method,Shipping_Type,Quantity,Unit_Price,Discount,Sales,Profit,Rating,Order_Status
ORD102645,2024-01-03,CUST1490,Running Shoes,Fashion,East,Net Banking,Same Day,1,6733.68,0.05,6397.0,909.69,3.6,Delivered
ORD101236,2024-01-03,CUST1037,T-Shirt,Fashion,Central,Credit Card,Standard,2,2300.59,0.1,4141.06,1374.52,4.1,Delivered
ORD103216,2024-01-03,CUST1339,Hair Dryer,Beauty,West,UPI,Same Day,1,3029.2,0.2,2423.36,527.17,3.7,Delivered
ORD101621,2024-01-03,CUST1371,Mixer Grinder,Home & Kitchen,West,Debit Card,Standard,1,4171.76,0.05,3963.17,1664.38,5.0,Delivered
ORD100845,2024-01-03,CUST1302,Cricket Bat,Sports,South,Net Banking,Standard,2,3596.6,0.0,7193.2,1285.94,4.2,Cancelled
ORD103233,2024-01-03,CUST1417,Makeup Set,Beauty,South,UPI,Standard,2,5818.79,0.05,11055.7,1498.77,3.4,Delivered
ORD100844,2024-01-03,CUST1225,Skincare Kit,Beauty,North,Credit Card,Standard,2,5215.28,0.1,9387.51,3007.31,3.8,Delivered
ORD101293,2024-01-03,CUST1155,Cricket Bat,Sports,North,Credit Card,Standard,1,11928.3,0.0,11928.3,5051.44,2.7,Delivered
ORD101549,2024-01-03,CUST1548,Cricket Bat,Sports,West,Credit Card,Express,2,7074.15,0.1,12733.47,2846.15,4.2,Delivered
ORD100380,2024-01-03,CUST1519,Perfume,Beauty,South,Net Banking,Standard,2,3201.58,0.05,6083.01,1419.97,4.9,Delivered
ORD102788,2024-01-03,CUST1163,Storage Organizer,Home & Kitchen,North,COD,Standard,1,14393.34,0.15,12234.34,543.39,4.2,Delivered
ORD100900,2024-01-03,CUST1228,Skincare Kit,Beauty,South,Credit Card,Express,1,5290.51,0.05,5025.98,755.34,3.5,Delivered
ORD100464,2024-01-04,CUST1120,Coffee Maker,Home & Kitchen,Central,UPI,Standard,1,8043.43,0.15,6836.91,1625.16,4.8,Returned
ORD100574,2024-01-04,CUST1195,Smart Watch,Electronics,North,Credit Card,Express,2,25547.86,0.05,48540.94,15130.07,3.8,Returned
ORD102400,2024-01-04,CUST1559,Hair Dryer,Beauty,West,COD,Express,1,2442.76,0.05,2320.62,772.26,2.8,Delivered
ORD101278,2024-01-05,CUST1064,Mixer Grinder,Home & Kitchen,Central,Credit Card,Express,1,749.4,0.2,599.52,92.07,2.8,Delivered
ORD103398,2024-01-05,CUST1563,Denim Jacket,Fashion,Central,Net Banking,Express,2,5791.96,0.1,10425.53,1619.41,4.0,Delivered
ORD101806,2024-01-05,CUST1237,Football,Sports,North,UPI,Standard,4,2911.33,0.1,10480.78,3341.69,4.7,Delivered
ORD102201,2024-01-05,CUST1229,Laptop Stand,Electronics,Central,COD,Same Day,2,38253.65,0.0,76507.3,23835.21,4.1,Delivered
ORD100103,2024-01-05,CUST1375,Bluetooth Speaker,Electronics,North,UPI,Express,1,7286.87,0.1,6558.18,2144.8,4.3,Delivered
ORD100706,2024-01-05,CUST1544,Wireless Headphones,Electronics,North,UPI,Standard,2,46142.2,0.05,87670.18,15459.21,4.1,Delivered
ORD101189,2024-01-05,CUST1435,Perfume,Beauty,West,Credit Card,Standard,2,618.89,0.25,928.33,25.24,4.0,Delivered
ORD101174,2024-01-05,CUST1500,Denim Jacket,Fashion,North,Debit Card,Standard,1,8669.96,0.05,8236.46,1201.7,3.1,Delivered
ORD101762,2024-01-06,CUST1354,Wireless Headphones,Electronics,South,Debit Card,Express,3,36128.45,0.1,97546.81,19433.93,2.0,Cancelled
ORD102442,2024-01-06,CUST1120,Bluetooth Speaker,Electronics,West,Credit Card,Express,5,7541.2,0.0,37705.98,15646.36,4.1,Delivered
ORD100302,2024-01-06,CUST1484,Mixer Grinder,Home & Kitchen,Central,UPI,Express,1,7957.43,0.15,6763.81,1581.43,3.7,Delivered
ORD101531,2024-01-06,CUST1502,Football,Sports,North,Credit Card,Same Day,2,9230.82,0.05,17538.56,6938.37,3.6,Returned
ORD101069,2024-01-06,CUST1123,Backpack,Fashion,Central,COD,Standard,1,4592.21,0.0,4592.21,1679.18,3.5,Delivered
ORD101681,2024-01-07,CUST1461,Storage Organizer,Home & Kitchen,West,Net Banking,Express,1,10374.26,0.0,10374.26,3921.06,2.7,Delivered
ORD100789,2024-01-07,CUST1186,Backpack,Fashion,South,Net Banking,Same Day,4,7838.02,0.15,26649.28,9038.95,4.3,Delivered
ORD100800,2024-01-07,CUST1166,Backpack,Fashion,North,COD,Standard,2,6694.78,0.1,12050.61,3305.83,3.8,Delivered
ORD101120,2024-01-08,CUST1371,Power Bank,Electronics,South,Credit Card,Standard,2,11260.85,0.0,22521.7,8821.67,5.0,Returned
ORD100838,2024-01-08,CUST1445,Casual Sneakers,Fashion,West,Credit Card,Same Day,2,7351.95,0.2,11763.12,2948.8,2.8,Delivered
ORD103102,2024-01-08,CUST1286,Storage Organizer,Home & Kitchen,Central,Debit Card,Same Day,1,512.32,0.1,461.08,139.16,4.0,Delivered
ORD100409,2024-01-08,CUST1544,Skincare Kit,Beauty,North,Credit Card,Standard,1,6503.95,0.0,6503.95,1461.79,4.6,Delivered
ORD103135,2024-01-09,CUST1062,Coffee Maker,Home & Kitchen,North,COD,Express,1,12641.7,0.25,9481.27,1451.86,4.0,Delivered
ORD101037,2024-01-09,CUST1435,Resistance Bands,Sports,East,Credit Card,Same Day,3,9802.21,0.05,27936.29,10238.29,4.4,Delivered
ORD100888,2024-01-09,CUST1203,Skincare Kit,Beauty,West,Debit Card,Standard,1,5688.14,0.15,4834.92,667.71,4.3,Delivered
ORD100477,2024-01-10,CUST1593,Wireless Headphones,Electronics,South,Net Banking,Express,1,53740.09,0.0,53740.09,22493.33,5.0,Delivered
ORD100414,2024-01-10,CUST1474,Air Fryer,Home & Kitchen,West,Net Banking,Standard,3,8697.15,0.05,24786.89,6174.72,5.0,Returned
ORD102974,2024-01-10,CUST1146,Wireless Headphones,Electronics,West,Debit Card,Standard,3,45662.27,0.05,130137.47,43325.81,3.9,Delivered
ORD101651,2024-01-10,CUST1372,Smart Watch,Electronics,Central,UPI,Express,1,45049.78,0.0,45049.78,8951.31,3.8,Returned
ORD101365,2024-01-10,CUST1352,Power Bank,Electronics,Central,Net Banking,Standard,1,8020.42,0.2,6416.34,1838.35,4.8,Delivered
ORD101623,2024-01-10,CUST1407,Denim Jacket,Fashion,West,Debit Card,Same Day,1,538.2,0.05,511.29,100.02,5.0,Delivered
ORD100232,2024-01-11,CUST1242,T-Shirt,Fashion,North,UPI,Standard,1,7092.68,0.0,7092.68,2554.37,4.1,Returned
ORD102089,2024-01-11,CUST1508,Backpack,Fashion,East,UPI,Standard,1,4261.98,0.2,3409.59,402.44,3.8,Delivered
ORD101593,2024-01-11,CUST1582,Coffee Maker,Home & Kitchen,East,Net Banking,Express,2,12978.07,0.05,24658.32,3813.64,4.5,Delivered
ORD102170,2024-01-12,CUST1212,T-Shirt,Fashion,North,Credit Card,Same Day,1,1503.5,0.1,1353.15,435.39,4.2,Delivered
ORD101528,2024-01-12,CUST1422,T-Shirt,Fashion,West,Net Banking,Standard,1,514.08,0.0,514.08,89.45,3.1,Delivered
ORD100539,2024-01-12,CUST1225,Makeup Set,Beauty,South,Net Banking,Standard,1,3921.77,0.0,3921.77,1531.08,3.4,Delivered
ORD100299,2024-01-12,CUST1033,Cookware Set,Home & Kitchen,West,UPI,Standard,1,13829.03,0.0,13829.03,4435.01,3.3,Delivered
ORD100169,2024-01-13,CUST1131,Running Shoes,Fashion,North,Debit Card,Standard,1,6115.1,0.0,6115.1,2616.96,3.9,Delivered
ORD103308,2024-01-13,CUST1030,Air Fryer,Home & Kitchen,West,Net Banking,Standard,3,1245.13,0.15,3175.08,911.91,4.2,Delivered
ORD101166,2024-01-13,CUST1185,Perfume,Beauty,West,Net Banking,Same Day,2,2260.2,0.15,3842.33,1043.81,4.0,Delivered
ORD103118,2024-01-13,CUST1193,Laptop Stand,Electronics,East,Debit Card,Standard,1,48332.17,0.0,48332.17,15219.19,4.3,Delivered
ORD102137,2024-01-13,CUST1261,Makeup Set,Beauty,West,Debit Card,Standard,1,6083.32,0.25,4562.49,475.83,3.5,Delivered
ORD100271,2024-01-13,CUST1199,Football,Sports,Central,Credit Card,Express,4,5372.9,0.0,21491.6,5611.32,3.9,Delivered
ORD101782,2024-01-13,CUST1496,Resistance Bands,Sports,Central,Debit Card,Standard,4,9161.14,0.15,31147.86,1853.64,3.9,Returned
ORD100368,2024-01-13,CUST1133,Denim Jacket,Fashion,Central,COD,Standard,1,6290.55,0.0,6290.55,1757.37,4.5,Delivered
ORD101743,2024-01-13,CUST1576,Cookware Set,Home & Kitchen,West,Debit Card,Standard,2,14104.48,0.15,23977.62,769.57,4.1,Cancelled
ORD102711,2024-01-14,CUST1406,Skincare Kit,Beauty,South,UPI,Standard,1,4923.99,0.05,4677.79,1489.49,3.5,Delivered
ORD103441,2024-01-14,CUST1264,Casual Sneakers,Fashion,South,Net Banking,Standard,1,5443.82,0.05,5171.63,680.58,3.4,Delivered
ORD101398,2024-01-14,CUST1455,Cricket Bat,Sports,Central,UPI,Standard,2,11880.83,0.0,23761.65,4492.11,4.1,Delivered
ORD100453,2024-01-14,CUST1279,Skincare Kit,Beauty,West,Net Banking,Express,1,3228.69,0.15,2744.39,744.16,4.7,Delivered
ORD102260,2024-01-14,CUST1075,Wireless Headphones,Electronics,Central,Debit Card,Same Day,3,42651.68,0.1,115159.54,27545.17,4.5,Delivered
ORD101179,2024-01-14,CUST1042,Yoga Mat,Sports,South,Debit Card,Same Day,2,7867.87,0.05,14948.96,3965.39,3.6,Delivered
ORD100820,2024-01-14,CUST1396,Perfume,Beauty,West,UPI,Express,1,6226.72,0.15,5292.71,1073.9,3.5,Delivered
ORD100428,2024-01-14,CUST1398,Laptop Stand,Electronics,East,UPI,Standard,4,35250.93,0.0,141003.74,33181.9,3.6,Delivered
ORD102222,2024-01-15,CUST1411,Laptop Stand,Electronics,South,UPI,Standard,1,18303.16,0.05,17388.01,2225.91,3.8,Delivered
ORD103485,2024-01-15,CUST1514,Backpack,Fashion,West,Debit Card,Express,1,5932.21,0.25,4449.15,-154.14,4.4,Delivered
ORD102328,2024-01-15,CUST1071,Casual Sneakers,Fashion,North,Credit Card,Standard,1,3623.76,0.0,3623.76,1182.97,4.7,Delivered
ORD102468,2024-01-15,CUST1116,T-Shirt,Fashion,East,UPI,Standard,2,6323.51,0.0,12647.01,4688.46,3.6,Delivered
ORD102409,2024-01-15,CUST1311,Laptop Stand,Electronics,West,Credit Card,Standard,3,19292.55,0.2,46302.11,11532.44,4.9,Delivered
ORD102635,2024-01-15,CUST1110,Smart Watch,Electronics,North,UPI,Express,2,13266.86,0.25,19900.3,2208.66,3.5,Delivered
ORD101492,2024-01-16,CUST1595,Hair Dryer,Beauty,South,COD,Express,2,4339.0,0.05,8244.09,1821.83,3.7,Delivered
ORD100829,2024-01-16,CUST1528,Yoga Mat,Sports,North,COD,Same Day,1,4325.42,0.15,3676.61,1029.85,3.5,Delivered
ORD101868,2024-01-17,CUST1400,Face Serum,Beauty,South,UPI,Express,2,6184.53,0.0,12369.05,2423.53,4.3,Returned
ORD103457,2024-01-17,CUST1560,T-Shirt,Fashion,North,COD,Same Day,2,4282.34,0.0,8564.67,1718.87,5.0,Delivered
ORD102558,2024-01-17,CUST1385,Skincare Kit,Beauty,East,Credit Card,Express,1,4771.95,0.15,4056.16,1140.23,3.0,Delivered
ORD100137,2024-01-17,CUST1300,Wireless Headphones,Electronics,South,UPI,Express,4,8970.69,0.05,34088.63,11696.94,2.9,Delivered
ORD101299,2024-01-17,CUST1334,Skincare Kit,Beauty,South,Net Banking,Standard,1,2782.63,0.05,2643.5,448.09,3.5,Delivered
ORD101943,2024-01-17,CUST1485,Perfume,Beauty,West,UPI,Same Day,2,3922.86,0.0,7845.71,3049.53,3.2,Delivered
ORD101589,2024-01-17,CUST1317,Storage Organizer,Home & Kitchen,West,Debit Card,Standard,1,8183.75,0.1,7365.38,2144.29,4.5,Delivered
ORD101535,2024-01-18,CUST1137,Bluetooth Speaker,Electronics,South,Net Banking,Express,1,36356.76,0.0,36356.76,13882.96,3.3,Delivered
ORD102262,2024-01-18,CUST1117,Makeup Set,Beauty,West,Credit Card,Express,1,4114.52,0.2,3291.62,-129.02,4.0,Delivered
ORD102498,2024-01-18,CUST1452,Cricket Bat,Sports,Central,Net Banking,Same Day,1,8214.24,0.0,8214.24,2134.72,4.7,Delivered
ORD100786,2024-01-18,CUST1429,Football,Sports,West,Credit Card,Same Day,1,5670.4,0.15,4819.84,1603.87,4.3,Delivered
ORD100384,2024-01-18,CUST1098,Yoga Mat,Sports,North,Credit Card,Standard,1,4871.72,0.2,3897.37,804.46,3.9,Delivered
ORD102950,2024-01-18,CUST1473,Mixer Grinder,Home & Kitchen,North,COD,Standard,1,14757.66,0.15,12544.01,1086.6,2.8,Delivered
ORD100146,2024-01-19,CUST1386,Coffee Maker,Home & Kitchen,South,UPI,Standard,1,9466.0,0.0,9466.0,2825.8,3.2,Delivered
ORD102865,2024-01-20,CUST1295,Storage Organizer,Home & Kitchen,East,Credit Card,Standard,2,14964.01,0.1,26935.22,8446.4,3.4,Cancelled
ORD100662,2024-01-20,CUST1338,Yoga Mat,Sports,West,Debit Card,Standard,2,11870.62,0.2,18992.99,1965.33,3.5,Delivered
ORD100969,2024-01-20,CUST1450,Power Bank,Electronics,North,Net Banking,Standard,1,23654.43,0.15,20106.27,4980.09,4.1,Delivered
ORD102763,2024-01-20,CUST1541,Face Serum,Beauty,South,COD,Express,1,5991.26,0.0,5991.26,2639.4,3.3,Delivered
ORD100843,2024-01-20,CUST1155,Wireless Headphones,Electronics,East,Net Banking,Express,2,33451.29,0.0,66902.58,25560.0,4.5,Delivered
ORD103319,2024-01-20,CUST1061,Football,Sports,South,COD,Standard,1,10589.77,0.05,10060.28,3827.48,3.4,Delivered
ORD102321,2024-01-20,CUST1423,Skincare Kit,Beauty,South,Net Banking,Standard,1,1443.58,0.1,1299.22,144.0,4.0,Delivered
ORD101908,2024-01-20,CUST1336,Power Bank,Electronics,East,Net Banking,Express,1,34905.76,0.15,29669.89,9575.85,3.7,Delivered
ORD101445,2024-01-20,CUST1434,Hair Dryer,Beauty,North,Credit Card,Standard,1,5852.17,0.05,5559.56,1899.39,2.9,Delivered
ORD101682,2024-01-20,CUST1383,Laptop Stand,Electronics,West,UPI,Express,1,12149.07,0.15,10326.71,1907.5,4.7,Delivered
ORD100327,2024-01-21,CUST1330,Mixer Grinder,Home & Kitchen,East,Net Banking,Same Day,2,8198.31,0.05,15576.79,2286.6,4.1,Delivered
ORD100116,2024-01-21,CUST1031,Cookware Set,Home & Kitchen,South,COD,Same Day,1,16573.81,0.1,14916.43,5484.3,4.5,Delivered
ORD101265,2024-01-21,CUST1091,Storage Organizer,Home & Kitchen,Central,Credit Card,Same Day,3,9723.41,0.0,29170.24,6620.79,3.9,Cancelled
ORD100869,2024-01-22,CUST1316,Air Fryer,Home & Kitchen,West,UPI,Express,1,6584.02,0.25,4938.01,1225.82,3.5,Delivered
ORD103239,2024-01-22,CUST1265,Coffee Maker,Home & Kitchen,South,UPI,Same Day,1,5870.49,0.15,4989.92,996.83,4.1,Delivered
ORD102727,2024-01-22,CUST1394,Mixer Grinder,Home & Kitchen,South,COD,Express,1,14399.95,0.0,14399.95,4734.7,3.3,Delivered
ORD102629,2024-01-22,CUST1225,Power Bank,Electronics,West,Debit Card,Express,1,6620.82,0.05,6289.78,1344.73,3.4,Delivered
ORD102202,2024-01-22,CUST1167,Laptop Stand,Electronics,East,COD,Standard,1,35457.33,0.15,30138.73,689.47,4.2,Delivered
ORD101098,2024-01-23,CUST1574,Storage Organizer,Home & Kitchen,East,Net Banking,Express,4,3089.86,0.15,10505.53,242.27,5.0,Returned
ORD101451,2024-01-23,CUST1031,Perfume,Beauty,North,UPI,Standard,1,2946.13,0.2,2356.9,104.29,4.2,Delivered
ORD102037,2024-01-23,CUST1505,T-Shirt,Fashion,East,UPI,Standard,2,2890.98,0.15,4914.66,903.92,3.3,Delivered
ORD102771,2024-01-23,CUST1457,Power Bank,Electronics,West,UPI,Same Day,1,39452.34,0.0,39452.34,7325.62,3.7,Delivered
ORD101018,2024-01-23,CUST1427,Hair Dryer,Beauty,South,Credit Card,Standard,2,4683.81,0.05,8899.24,3317.92,4.3,Delivered
ORD102880,2024-01-23,CUST1175,Hair Dryer,Beauty,South,UPI,Express,1,4450.94,0.0,4450.94,1439.0,4.1,Delivered
ORD100249,2024-01-23,CUST1544,Power Bank,Electronics,West,Debit Card,Standard,2,22864.06,0.0,45728.11,19774.38,4.0,Delivered
ORD101239,2024-01-23,CUST1313,Denim Jacket,Fashion,South,Net Banking,Same Day,1,925.32,0.0,925.32,285.06,3.1,Delivered
ORD100816,2024-01-24,CUST1588,Dumbbells,Sports,East,Net Banking,Express,1,750.77,0.0,750.77,276.65,3.9,Delivered
ORD100901,2024-01-24,CUST1072,Hair Dryer,Beauty,West,UPI,Express,1,3143.33,0.2,2514.66,262.59,3.7,Delivered
ORD102338,2024-01-24,CUST1167,Denim Jacket,Fashion,East,Debit Card,Express,2,4724.42,0.05,8976.39,1660.89,4.1,Delivered
ORD101870,2024-01-24,CUST1471,Power Bank,Electronics,East,Net Banking,Standard,4,33694.98,0.1,121301.91,22371.97,4.3,Delivered
ORD100561,2024-01-24,CUST1014,Makeup Set,Beauty,South,Debit Card,Express,3,349.64,0.25,786.7,6.93,3.7,Delivered
ORD100055,2024-01-24,CUST1269,Makeup Set,Beauty,South,Net Banking,Standard,1,700.88,0.2,560.71,151.84,4.7,Returned
ORD102521,2024-01-25,CUST1176,Yoga Mat,Sports,West,Debit Card,Express,2,10329.86,0.2,16527.78,315.67,4.5,Returned
ORD102370,2024-01-25,CUST1473,T-Shirt,Fashion,Central,UPI,Express,1,3748.53,0.0,3748.53,935.82,4.1,Delivered
ORD103012,2024-01-25,CUST1053,Wireless Headphones,Electronics,North,Debit Card,Standard,4,34692.79,0.2,111016.91,31868.07,4.2,Delivered
ORD101109,2024-01-25,CUST1262,Resistance Bands,Sports,West,UPI,Standard,2,11290.53,0.1,20322.95,6325.2,4.1,Delivered
ORD100351,2024-01-25,CUST1028,Storage Organizer,Home & Kitchen,North,Debit Card,Same Day,2,11673.18,0.1,21011.73,5217.05,4.1,Delivered
ORD100396,2024-01-25,CUST1320,Cookware Set,Home & Kitchen,South,UPI,Standard,1,17123.65,0.0,17123.65,7096.97,3.8,Delivered
ORD100810,2024-01-25,CUST1312,Running Shoes,Fashion,North,UPI,Standard,2,2782.35,0.25,4173.52,822.57,4.2,Delivered
ORD102779,2024-01-25,CUST1226,Wireless Headphones,Electronics,West,Credit Card,Express,1,46210.47,0.1,41589.42,15890.27,4.3,Delivered
ORD101805,2024-01-25,CUST1489,Casual Sneakers,Fashion,East,Credit Card,Standard,1,3080.59,0.1,2772.53,825.09,3.5,Delivered
ORD103362,2024-01-26,CUST1108,Laptop Stand,Electronics,North,Credit Card,Standard,2,7394.09,0.1,13309.36,4549.91,4.1,Delivered
ORD101780,2024-01-26,CUST1428,Football,Sports,East,Net Banking,Standard,1,5765.98,0.2,4612.78,257.01,5.0,Delivered
ORD101525,2024-01-26,CUST1072,Denim Jacket,Fashion,Central,Debit Card,Standard,2,4773.06,0.1,8591.5,1540.8,4.6,Delivered
ORD101462,2024-01-26,CUST1592,Running Shoes,Fashion,West,UPI,Same Day,1,7014.81,0.2,5611.85,166.81,4.1,Delivered
ORD102883,2024-01-27,CUST1017,Skincare Kit,Beauty,South,Debit Card,Standard,1,6012.7,0.2,4810.16,1127.58,4.3,Returned
ORD101269,2024-01-27,CUST1029,Skincare Kit,Beauty,South,Net Banking,Express,1,6130.99,0.05,5824.44,875.08,3.4,Delivered
ORD101285,2024-01-27,CUST1216,Cricket Bat,Sports,North,Net Banking,Standard,1,2303.17,0.1,2072.86,327.81,3.7,Delivered
ORD100573,2024-01-27,CUST1566,Smart Watch,Electronics,South,Net Banking,Express,1,22054.69,0.1,19849.22,2039.04,4.3,Delivered
ORD101517,2024-01-27,CUST1320,T-Shirt,Fashion,North,Debit Card,Standard,1,2982.52,0.05,2833.39,1179.22,3.0,Delivered
ORD101463,2024-01-28,CUST1141,Power Bank,Electronics,Central,COD,Standard,3,11281.55,0.0,33844.65,13871.78,3.2,Delivered
ORD103463,2024-01-28,CUST1424,Air Fryer,Home & Kitchen,West,COD,Express,1,2467.81,0.05,2344.42,834.81,5.0,Delivered
ORD101641,2024-01-28,CUST1010,Backpack,Fashion,Central,UPI,Same Day,1,8510.45,0.0,8510.45,2650.56,4.7,Delivered
ORD102504,2024-01-28,CUST1281,Wireless Headphones,Electronics,East,Net Banking,Same Day,4,33358.45,0.0,133433.81,46519.25,4.3,Delivered
ORD100698,2024-01-28,CUST1572,Smart Watch,Electronics,North,Debit Card,Standard,2,46303.85,0.0,92607.7,38898.24,4.6,Delivered
ORD103337,2024-01-28,CUST1035,Running Shoes,Fashion,Central,UPI,Standard,2,5125.43,0.15,8713.23,2926.68,4.0,Delivered
ORD102971,2024-01-28,CUST1080,Running Shoes,Fashion,North,UPI,Express,1,8728.91,0.0,8728.91,2228.23,4.3,Delivered
ORD102411,2024-01-28,CUST1202,Wireless Headphones,Electronics,South,Debit Card,Standard,1,24407.26,0.25,18305.45,2549.44,4.3,Delivered
ORD101975,2024-01-28,CUST1318,Power Bank,Electronics,North,COD,Same Day,2,47486.56,0.1,85475.81,30533.54,3.7,Delivered
ORD100847,2024-01-29,CUST1092,Yoga Mat,Sports,South,UPI,Standard,1,8955.1,0.25,6716.33,-670.07,4.1,Delivered
ORD101652,2024-01-29,CUST1157,Denim Jacket,Fashion,Central,Credit Card,Express,2,1532.19,0.05,2911.16,362.93,4.7,Delivered
ORD102277,2024-01-29,CUST1065,Running Shoes,Fashion,North,COD,Same Day,2,2930.35,0.0,5860.69,2058.65,4.6,Delivered
ORD102313,2024-01-29,CUST1581,Skincare Kit,Beauty,East,UPI,Express,2,890.98,0.0,1781.96,463.81,2.9,Delivered
ORD102617,2024-01-29,CUST1130,Bluetooth Speaker,Electronics,North,Credit Card,Standard,3,4614.41,0.2,11074.59,2533.67,4.5,Delivered
ORD101452,2024-01-29,CUST1470,Smart Watch,Electronics,North,Credit Card,Standard,1,50936.2,0.15,43295.77,5785.91,4.1,Delivered
ORD100583,2024-01-29,CUST1473,Cookware Set,Home & Kitchen,West,COD,Standard,1,12522.46,0.15,10644.09,2232.48,4.7,Delivered
ORD100886,2024-01-30,CUST1157,Air Fryer,Home & Kitchen,South,Debit Card,Standard,3,17144.26,0.1,46289.5,11810.16,4.6,Returned
ORD100897,2024-01-30,CUST1156,Face Serum,Beauty,North,Debit Card,Standard,4,3363.37,0.1,12108.12,4699.36,4.0,Delivered
ORD100545,2024-01-30,CUST1009,Storage Organizer,Home & Kitchen,South,Debit Card,Express,1,2615.99,0.25,1961.99,-1.88,4.1,Delivered
ORD101982,2024-01-30,CUST1182,Mixer Grinder,Home & Kitchen,West,Net Banking,Express,2,17908.44,0.2,28653.5,7326.11,4.4,Delivered
ORD101025,2024-01-31,CUST1276,Casual Sneakers,Fashion,East,Net Banking,Same Day,1,3852.0,0.0,3852.0,1248.9,4.2,Delivered
ORD101020,2024-01-31,CUST1595,Smart Watch,Electronics,North,Net Banking,Standard,1,22593.68,0.0,22593.68,5767.9,3.4,Delivered
ORD100541,2024-01-31,CUST1391,Face Serum,Beauty,South,Credit Card,Standard,1,6509.65,0.05,6184.17,2370.05,3.7,Delivered
ORD103451,2024-01-31,CUST1260,Football,Sports,Central,UPI,Same Day,3,11037.4,0.05,31456.59,7202.18,3.4,Delivered
ORD101266,2024-01-31,CUST1343,Running Shoes,Fashion,Central,UPI,Standard,2,2217.69,0.2,3548.31,723.34,4.0,Delivered
ORD102487,2024-01-31,CUST1330,Mixer Grinder,Home & Kitchen,East,UPI,Standard,2,11874.41,0.15,20186.5,373.84,3.3,Returned
ORD103356,2024-02-01,CUST1416,Smart Watch,Electronics,East,Net Banking,Standard,4,3332.19,0.1,11995.87,2239.8,4.1,Delivered
ORD103183,2024-02-01,CUST1494,Hair Dryer,Beauty,North,UPI,Express,3,5523.56,0.05,15742.14,2206.69,3.6,Delivered
ORD100857,2024-02-01,CUST1155,Coffee Maker,Home & Kitchen,South,COD,Standard,1,4707.81,0.1,4237.03,1160.46,4.9,Returned
ORD101978,2024-02-01,CUST1056,Casual Sneakers,Fashion,West,Credit Card,Express,1,2511.26,0.15,2134.57,697.24,4.2,Delivered
ORD102656,2024-02-01,CUST1053,Mixer Grinder,Home & Kitchen,East,COD,Express,2,2675.75,0.15,4548.77,308.02,3.1,Delivered
ORD101135,2024-02-01,CUST1459,Bluetooth Speaker,Electronics,South,Debit Card,Standard,1,43667.31,0.2,34933.84,7433.0,4.2,Delivered
ORD101800,2024-02-01,CUST1041,Backpack,Fashion,North,COD,Standard,1,6586.93,0.1,5928.24,1480.67,3.7,Delivered
ORD100149,2024-02-01,CUST1443,Dumbbells,Sports,West,COD,Express,1,9679.27,0.25,7259.45,443.14,4.0,Delivered
ORD103188,2024-02-02,CUST1420,Running Shoes,Fashion,South,UPI,Same Day,4,5747.96,0.2,18393.46,1755.61,4.2,Delivered
ORD101614,2024-02-02,CUST1143,Wireless Headphones,Electronics,North,COD,Standard,2,6504.32,0.0,13008.64,2788.91,4.9,Delivered
ORD102787,2024-02-02,CUST1039,Yoga Mat,Sports,South,Net Banking,Standard,4,9673.09,0.1,34823.11,3918.11,4.4,Delivered
