Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST1032,190,4,72360.41,1,1,2,4,Lost / Hibernating
CUST1033,305,5,103546.54,1,2,3,6,At Risk
CUST1034,228,6,253329.13,1,3,5,9,Potential Loyalists
CUST1035,9,9,64781.689999999995,5,5,2,12,Loyal Customers
CUST1036,272,7,157550.7,1,4,4,9,Potential Loyalists
CUST1037,193,8,134831.61000000002,1,4,4,9,Potential Loyalists
CUST1038,39,3,172174.75,4,1,5,10,Loyal Customers
CUST1039,43,9,116017.31999999999,4,5,4,13,Champions
CUST1040,261,5,111591.81,1,2,3,6,At Risk
CUST1041,11,12,153001.2,5,5,4,14,Champions
CUST1042,47,7,321056.33999999997,3,4,5,12,Loyal Customers
CUST1043,20,9,210875.32,5,5,5,15,Champions
CUST1044,74,6,191606.73,3,3,5,11,Loyal Customers
CUST1045,54,6,47202.44,3,3,2,8,Potential Loyalists
CUST1046,56,7,89429.21,3,4,3,10,Loyal Customers
CUST1047,96,5,58226.48,2,2,2,6,At Risk
CUST1048,138,5,44727.45,2,2,2,6,At Risk
CUST1049,14,7,126104.36,5,4,4,13,Champions
CUST1050,62,5,58393.86,3,2,2,7,At Risk
CUST1051,55,3,18269.48,3,1,1,5,Lost / Hibernating
CUST1052,6,7,106017.99,5,4,3,12,Loyal Customers
CUST1053,42,6,142864.28,4,3,4,11,Loyal Customers
CUST1054,8,6,56665.94,5,3,2,10,Loyal Customers
CUST1055,12,5,122200.22,5,2,4,11,Loyal Customers
CUST1056,202,9,74341.97,1,5,3,9,Potential Loyalists
CUST1057,96,7,122089.55,2,4,4,10,Loyal Customers
CUST1058,35,6,328159.67,4,3,5,12,Loyal Customers
CUST1059,28,12,205942.74,4,5,5,14,Champions
CUST1060,254,4,121986.67,1,1,4,6,At Risk
CUST1061,22,9,112855.12000000001,4,5,3,12,Loyal Customers
CUST1062,94,9,150770.59,2,5,4,11,Loyal Customers
CUST1063,37,6,47638.68,4,3,2,9,Potential Loyalists
CUST1064,276,6,155023.68,1,3,4,8,Potential Loyalists
CUST1065,155,3,25935.79,1,1,1,3,Lost / Hibernating
CUST1066,30,7,236827.78,4,4,5,13,Champions
CUST1067,99,4,74953.38,2,1,3,6,At Risk
CUST1068,106,6,267721.32999999996,2,3,5,10,Loyal Customers
CUST1069,26,4,54877.49,4,1,2,7,At Risk
CUST1070,16,6,82840.84,5,3,3,11,Loyal Customers
CUST1071,240,2,30604.42,1,1,1,3,Lost / Hibernating
CUST1072,316,5,41674.71,1,2,1,4,Lost / Hibernating
CUST1073,79,6,59275.94,3,3,2,8,Potential Loyalists
CUST1074,69,5,87367.05,3,2,3,8,Potential Loyalists
CUST1075,177,10,210227.46,1,5,5,11,Loyal Customers
CUST1076,144,4,44344.56,2,1,1,4,Lost / Hibernating
CUST1077,23,4,24496.9,4,1,1,6,At Risk
CUST1078,71,7,81372.62,3,4,3,10,Loyal Customers
CUST1079,269,4,91983.44,1,1,3,5,Lost / Hibernating
CUST1080,53,10,395601.14,3,5,5,13,Champions
CUST1081,198,3,33170.38,1,1,1,3,Lost / Hibernating
CUST1082,4,7,134454.87,5,4,4,13,Champions
CUST1083,76,6,36685.57,3,3,1,7,At Risk
CUST1084,44,7,162932.44,4,4,4,12,Loyal Customers
CUST1085,131,7,205885.46,2,4,5,11,Loyal Customers
CUST1086,4,9,194419.51,5,5,5,15,Champions
CUST1087,184,5,142105.71000000002,1,2,4,7,At Risk
CUST1088,190,5,28506.73,1,2,1,4,Lost / Hibernating
CUST1089,71,4,30419.59,3,1,1,5,Lost / Hibernating
CUST1090,38,6,135322.51,4,3,4,11,Loyal Customers
CUST1091,8,10,71460.18000000001,5,5,2,12,Loyal Customers
CUST1092,146,5,186239.3,2,2,5,9,Potential Loyalists
CUST1093,77,9,323216.18,3,5,5,13,Champions
CUST1094,84,7,82423.8,2,4,3,9,Potential Loyalists
CUST1095,28,2,20243.86,4,1,1,6,At Risk
CUST1096,187,7,148301.54,1,4,4,9,Potential Loyalists
CUST1097,9,5,46440.03,5,2,2,9,Potential Loyalists
CUST1098,1,8,181600.26,5,5,5,15,Champions
CUST1099,12,3,17932.78,5,1,1,7,At Risk
CUST1100,6,7,104160.21,5,4,3,12,Loyal Customers
CUST1101,43,4,91361.95999999999,4,1,3,8,Potential Loyalists
CUST1102,14,10,152984.77,5,5,4,14,Champions
CUST1103,40,3,85308.74,4,1,3,8,Potential Loyalists
CUST1104,89,4,41522.33,2,1,1,4,Lost / Hibernating
CUST1105,8,10,138206.61,5,5,4,14,Champions
CUST1106,256,2,7892.14,1,1,1,3,Lost / Hibernating
CUST1107,38,9,103468.48,4,5,3,12,Loyal Customers
CUST1108,46,5,81549.94,3,2,3,8,Potential Loyalists
CUST1109,77,5,112047.63999999998,3,2,3,8,Potential Loyalists
CUST1110,212,4,39104.729999999996,1,1,1,3,Lost / Hibernating
CUST1111,251,5,17577.61,1,2,1,4,Lost / Hibernating
CUST1112,256,5,43511.86,1,2,1,4,Lost / Hibernating
CUST1113,48,11,120858.44,3,5,4,12,Loyal Customers
CUST1114,250,6,98373.62,1,3,3,7,At Risk
CUST1115,14,8,58988.67,5,5,2,12,Loyal Customers
CUST1116,129,7,283444.81,2,4,5,11,Loyal Customers
CUST1117,3,7,90310.2,5,4,3,12,Loyal Customers
CUST1118,21,6,116201.75,5,3,4,12,Loyal Customers
CUST1119,74,9,177059.02,3,5,5,13,Champions
CUST1120,173,8,115297.05,1,5,3,9,Potential Loyalists
CUST1121,158,7,85290.27,1,4,3,8,Potential Loyalists
CUST1122,10,5,89777.37,5,2,3,10,Loyal Customers
CUST1123,109,5,74169.95,2,2,2,6,At Risk
CUST1124,75,7,117149.47,3,4,4,11,Loyal Customers
CUST1125,140,3,40352.47,2,1,1,4,Lost / Hibernating
CUST1126,42,6,147251.18,4,3,4,11,Loyal Customers
CUST1127,208,5,149494.84,1,2,4,7,At Risk
CUST1128,95,4,114671.09,2,1,3,6,At Risk
CUST1129,109,3,58676.46,2,1,2,5,Lost / Hibernating
CUST1130,3,8,96718.22,5,5,3,13,Champions
CUST1131,88,3,52633.28,2,1,2,5,Lost / Hibernating
CUST1132,42,5,148164.63,4,2,4,10,Loyal Customers
CUST1133,151,4,38306.93,1,1,1,3,Lost / Hibernating
CUST1134,70,7,101952.54,3,4,3,10,Loyal Customers
CUST1135,35,7,59891.84,4,4,2,10,Loyal Customers
CUST1136,200,7,78980.86,1,4,3,8,Potential Loyalists
CUST1137,245,5,59197.14,1,2,2,5,Lost / Hibernating
CUST1138,12,3,29985.609999999997,5,1,1,7,At Risk
CUST1139,51,4,129519.69,3,1,4,8,Potential Loyalists
CUST1140,45,6,123405.91,3,3,4,10,Loyal Customers
CUST1141,53,6,141263.34,3,3,4,10,Loyal Customers
CUST1142,192,2,37131.67,1,1,1,3,Lost / Hibernating
CUST1143,15,6,41054.119999999995,5,3,1,9,Potential Loyalists
CUST1144,32,4,43887.95,4,1,1,6,At Risk
CUST1145,56,7,97562.02,3,4,3,10,Loyal Customers
CUST1146,96,5,270996.4,2,2,5,9,Potential Loyalists
CUST1147,21,6,108128.66999999998,5,3,3,11,Loyal Customers
CUST1148,9,6,148961.77,5,3,4,12,Loyal Customers
CUST1149,59,9,199641.02,3,5,5,13,Champions
CUST1150,56,9,164246.32,3,5,4,12,Loyal Customers
CUST1151,257,3,18271.96,1,1,1,3,Lost / Hibernating
CUST1152,6,4,236114.65,5,2,5,12,Loyal Customers
CUST1153,3,8,239367.19,5,5,5,15,Champions
CUST1154,26,8,138368.23,4,5,4,13,Champions
CUST1155,38,12,312321.13,4,5,5,14,Champions
CUST1156,144,5,157026.96,2,2,4,8,Potential Loyalists
CUST1157,124,6,96873.67,2,3,3,8,Potential Loyalists
CUST1158,54,8,213022.33000000002,3,5,5,13,Champions
CUST1159,117,7,87820.70999999999,2,4,3,9,Potential Loyalists
CUST1160,50,5,144744.16,3,2,4,9,Potential Loyalists
CUST1161,442,2,24440.05,1,1,1,3,Lost / Hibernating
CUST1162,30,6,58027.74,4,3,2,9,Potential Loyalists
CUST1163,65,7,134421.95,3,4,4,11,Loyal Customers
CUST1164,91,5,34965.03,2,2,1,5,Lost / Hibernating
CUST1165,35,9,67415.19,4,5,2,11,Loyal Customers
CUST1166,90,8,110785.21,2,5,3,10,Loyal Customers
CUST1167,174,5,100614.26,1,2,3,6,At Risk
CUST1168,232,4,72690.2,1,2,2,5,Lost / Hibernating
CUST1169,153,3,25514.06,1,1,1,3,Lost / Hibernating
CUST1170,23,4,35600.81,4,2,1,7,At Risk
CUST1171,70,7,123915.58,3,4,4,11,Loyal Customers
CUST1172,96,7,106588.74,2,4,3,9,Potential Loyalists
CUST1173,13,9,155633.72,5,5,4,14,Champions
CUST1174,82,5,138634.08,3,2,4,9,Potential Loyalists
CUST1175,28,7,68076.94,4,4,2,10,Loyal Customers
CUST1176,3,7,137947.46,5,4,4,13,Champions
CUST1177,87,4,100130.78,2,2,3,7,At Risk
CUST1178,107,8,89948.98,2,5,3,10,Loyal Customers
CUST1179,164,6,73336.63,1,3,2,6,At Risk
CUST1180,22,10,127260.15000000001,4,5,4,13,Champions
CUST1181,108,7,73292.8,2,4,2,8,Potential Loyalists
CUST1182,166,8,290509.02,1,5,5,11,Loyal Customers
CUST1183,36,3,125387.65,4,1,4,9,Potential Loyalists
CUST1184,8,4,119432.29000000001,5,2,4,11,Loyal Customers
CUST1185,6,9,117545.8,5,5,4,14,Champions
CUST1186,75,7,100333.55,3,4,3,10,Loyal Customers
CUST1187,28,6,53175.37,4,3,2,9,Potential Loyalists
CUST1188,45,6,57838.82,3,3,2,8,Potential Loyalists
CUST1189,91,9,107066.08,2,5,3,10,Loyal Customers
CUST1190,28,6,148353.12,4,3,4,11,Loyal Customers
CUST1191,209,6,114302.84,1,3,3,7,At Risk
CUST1192,151,3,65205.619999999995,1,1,2,4,Lost / Hibernating
CUST1193,36,7,160347.74,4,4,4,12,Loyal Customers
CUST1194,234,6,151514.2,1,3,4,8,Potential Loyalists
CUST1195,78,7,174925.37,3,4,5,12,Loyal Customers
CUST1196,170,7,143265.43,1,4,4,9,Potential Loyalists
CUST1197,22,7,520806.73,4,4,5,13,Champions
CUST1198,12,11,117716.1,5,5,4,14,Champions
CUST1199,112,13,223927.27,2,5,5,12,Loyal Customers
CUST1200,29,5,69698.49,4,2,2,8,Potential Loyalists
CUST1201,133,6,121964.7,2,3,4,9,Potential Loyalists
CUST1202,101,7,55279.45,2,4,2,8,Potential Loyalists
CUST1203,48,8,171938.0,3,5,5,13,Champions
CUST1204,25,10,182816.65,4,5,5,14,Champions
CUST1205,73,7,53268.97,3,4,2,9,Potential Loyalists
CUST1206,113,6,58395.66,2,3,2,7,At Risk
CUST1207,109,4,57215.979999999996,2,2,2,6,At Risk
CUST1208,79,8,148419.61,3,5,4,12,Loyal Customers
CUST1209,173,2,21705.079999999998,1,1,1,3,Lost / Hibernating
CUST1210,151,6,46642.17,1,3,2,6,At Risk
CUST1211,24,9,158575.91999999998,4,5,4,13,Champions
CUST1212,3,13,297076.4,5,5,5,15,Champions
CUST1213,18,4,72558.77,5,2,2,9,Potential Loyalists
CUST1214,57,5,53559.490000000005,3,2,2,7,At Risk
CUST1216,35,4,36878.44,4,2,1,7,At Risk
CUST1217,37,4,232863.07,4,2,5,11,Loyal Customers
CUST1219,145,3,38684.5,2,1,1,4,Lost / Hibernating
CUST1220,13,6,142957.88999999998,5,3,4,12,Loyal Customers
CUST1221,216,3,35506.01,1,1,1,3,Lost / Hibernating
CUST1222,25,7,210135.09,4,4,5,13,Champions
CUST1223,13,4,48838.29,5,2,2,9,Potential Loyalists
CUST1224,26,4,42545.97,4,2,1,7,At Risk
CUST1225,203,5,25818.84,1,2,1,4,Lost / Hibernating
CUST1226,76,7,168457.12,3,4,5,12,Loyal Customers
CUST1227,22,9,195800.86,4,5,5,14,Champions
CUST1228,44,7,75609.87,4,4,3,11,Loyal Customers
CUST1229,11,6,334561.51,5,3,5,13,Champions
CUST1230,103,4,63821.9,2,2,2,6,At Risk
CUST1231,86,3,32930.06,2,1,1,4,Lost / Hibernating
CUST1232,117,4,21070.18,2,2,1,5,Lost / Hibernating
CUST1233,236,3,21721.309999999998,1,1,1,3,Lost / Hibernating
CUST1234,17,8,138885.3,5,5,4,14,Champions
CUST1235,226,5,101366.45999999999,1,2,3,6,At Risk
CUST1236,16,8,190836.71,5,5,5,15,Champions
CUST1237,54,6,50596.96,3,3,2,8,Potential Loyalists
CUST1238,23,6,221078.56,4,3,5,12,Loyal Customers
CUST1239,17,4,104531.94,5,2,3,10,Loyal Customers
CUST1240,180,5,213005.47,1,2,5,8,Potential Loyalists
CUST1241,88,4,37313.61,2,2,1,5,Lost / Hibernating
CUST1242,174,8,61112.28,1,5,2,8,Potential Loyalists
CUST1243,157,3,13266.51,1,1,1,3,Lost / Hibernating
CUST1244,35,3,48721.82,4,1,2,7,At Risk
CUST1245,174,3,13448.720000000001,1,1,1,3,Lost / Hibernating
CUST1246,46,7,153730.2,3,4,4,11,Loyal Customers
CUST1247,46,3,47956.69,3,1,2,6,At Risk
CUST1248,6,7,162908.66999999998,5,4,4,13,Champions
CUST1249,11,11,425455.77999999997,5,5,5,15,Champions
CUST1250,117,5,78236.69,2,2,3,7,At Risk
CUST1251,22,6,295551.52999999997,4,3,5,12,Loyal Customers
CUST1252,358,3,9888.07,1,1,1,3,Lost / Hibernating
CUST1253,59,7,123058.7,3,4,4,11,Loyal Customers
CUST1254,22,3,37823.259999999995,4,1,1,6,At Risk
CUST1255,139,3,47506.03,2,1,2,5,Lost / Hibernating
CUST1256,21,5,90692.49,5,2,3,10,Loyal Customers
CUST1257,21,4,37787.3,4,2,1,7,At Risk
CUST1258,2,6,99232.89,5,3,3,11,Loyal Customers
CUST1259,279,3,9873.21,1,1,1,3,Lost / Hibernating
CUST1260,195,5,167560.4,1,2,5,8,Potential Loyalists
CUST1261,237,5,105343.98,1,2,3,6,At Risk
CUST1262,257,7,128024.1,1,4,4,9,Potential Loyalists
CUST1263,136,6,72888.87,2,3,2,7,At Risk
CUST1264,132,7,82686.92,2,4,3,9,Potential Loyalists
CUST1265,271,5,63731.49,1,2,2,5,Lost / Hibernating
CUST1266,31,5,140702.54,4,2,4,10,Loyal Customers
CUST1267,12,6,266479.2,5,3,5,13,Champions
CUST1268,18,11,264940.05,5,5,5,15,Champions
CUST1269,85,8,59971.59,2,5,2,9,Potential Loyalists
CUST1270,81,5,151345.1,3,2,4,9,Potential Loyalists
CUST1271,48,9,271457.24,3,5,5,13,Champions
CUST1272,23,7,175531.93,4,4,5,13,Champions
CUST1273,105,6,54282.85,2,3,2,7,At Risk
CUST1274,175,3,103023.28,1,1,3,5,Lost / Hibernating
CUST1275,78,3,194174.55000000002,3,1,5,9,Potential Loyalists
CUST1276,457,3,51536.18,1,1,2,4,Lost / Hibernating
CUST1277,44,4,59038.649999999994,3,2,2,7,At Risk
CUST1278,42,7,134137.55,4,4,4,12,Loyal Customers
CUST1279,38,6,103590.45999999999,4,3,3,10,Loyal Customers
CUST1280,10,6,82361.18000000001,5,3,3,11,Loyal Customers
CUST1281,50,8,190087.56,3,5,5,13,Champions
CUST1282,62,7,49199.44,3,4,2,9,Potential Loyalists
CUST1283,204,5,53629.74,1,2,2,5,Lost / Hibernating
CUST1284,40,8,61520.700000000004,4,5,2,11,Loyal Customers
CUST1285,198,5,71248.95999999999,1,2,2,5,Lost / Hibernating
CUST1286,22,8,168786.28,4,5,5,14,Champions
CUST1287,17,7,55784.78,5,4,2,11,Loyal Customers
CUST1288,67,3,19431.23,3,1,1,5,Lost / Hibernating
CUST1289,50,4,75267.48999999999,3,2,3,8,Potential Loyalists
CUST1290,17,9,135437.78,5,5,4,14,Champions
CUST1291,286,2,32204.640000000003,1,1,1,3,Lost / Hibernating
CUST1292,37,4,216064.81,4,2,5,11,Loyal Customers
CUST1293,121,4,16909.1,2,2,1,5,Lost / Hibernating
CUST1294,73,6,115680.09000000001,3,3,4,10,Loyal Customers
CUST1295,10,5,73518.04000000001,5,2,2,9,Potential Loyalists
CUST1296,119,6,192696.07,2,3,5,10,Loyal Customers
CUST1297,53,6,101337.3,3,3,3,9,Potential Loyalists
CUST1298,40,6,104678.67000000001,4,3,3,10,Loyal Customers
CUST1299,4,8,166396.88,5,5,5,15,Champions
CUST1300,74,8,77201.29,3,5,3,11,Loyal Customers
CUST1301,402,3,121777.34,1,1,4,6,At Risk
CUST1302,26,8,52595.590000000004,4,5,2,11,Loyal Customers
CUST1303,28,5,79499.73,4,2,3,9,Potential Loyalists
CUST1304,3,8,120268.85,5,5,4,14,Champions
CUST1305,45,6,66455.98,3,3,2,8,Potential Loyalists
CUST1306,138,5,89914.54999999999,2,2,3,7,At Risk
CUST1307,119,3,18499.78,2,1,1,4,Lost / Hibernating
CUST1308,19,5,47444.85,5,2,2,9,Potential Loyalists
CUST1309,154,5,63831.3,1,2,2,5,Lost / Hibernating
CUST1310,228,4,81098.98,1,2,3,6,At Risk
CUST1311,139,7,140464.56,2,4,4,10,Loyal Customers
CUST1312,2,6,121759.14,5,3,4,12,Loyal Customers
CUST1313,263,6,60464.649999999994,1,3,2,6,At Risk
CUST1314,44,10,164298.86,3,5,4,12,Loyal Customers
CUST1315,67,6,25871.98,3,3,1,7,At Risk
CUST1316,18,9,47434.67,5,5,2,12,Loyal Customers
CUST1317,1,14,180926.4,5,5,5,15,Champions
CUST1318,34,6,128119.09,4,3,4,11,Loyal Customers
CUST1319,69,4,204359.55,3,2,5,10,Loyal Customers
CUST1320,8,7,326773.35000000003,5,4,5,14,Champions
CUST1321,33,7,88353.66,4,4,3,11,Loyal Customers
CUST1322,231,2,61206.97,1,1,2,4,Lost / Hibernating
CUST1323,238,7,222610.18,1,4,5,10,Loyal Customers
CUST1324,55,12,169921.17,3,5,5,13,Champions
CUST1325,19,3,13405.05,5,1,1,7,At Risk
CUST1326,143,7,97087.16,2,4,3,9,Potential Loyalists
CUST1327,9,7,118904.45,5,4,4,13,Champions
CUST1328,25,5,32453.56,4,2,1,7,At Risk
CUST1329,67,7,121491.29,3,4,4,11,Loyal Customers
CUST1330,13,8,100058.39,5,5,3,13,Champions
CUST1331,6,5,31073.05,5,2,1,8,Potential Loyalists
CUST1332,22,5,47167.04,4,2,2,8,Potential Loyalists
CUST1333,35,7,72743.23,4,4,2,10,Loyal Customers
CUST1334,23,9,146837.46,4,5,4,13,Champions
CUST1335,3,6,104169.20999999999,5,3,3,11,Loyal Customers
CUST1336,9,8,222233.16,5,5,5,15,Champions
CUST1337,20,5,46690.64,5,2,2,9,Potential Loyalists
CUST1338,3,14,231113.59,5,5,5,15,Champions
CUST1339,331,5,52429.69,1,2,2,5,Lost / Hibernating
CUST1340,109,5,114074.97,2,2,3,7,At Risk
CUST1341,101,6,125648.34,2,3,4,9,Potential Loyalists
CUST1342,112,6,71943.15000000001,2,3,2,7,At Risk
CUST1343,142,7,78118.24,2,4,3,9,Potential Loyalists
CUST1344,109,3,27040.699999999997,2,1,1,4,Lost / Hibernating
CUST1345,82,6,131119.03,3,3,4,10,Loyal Customers
CUST1346,29,4,75725.75,4,2,3,9,Potential Loyalists
CUST1347,17,3,19639.370000000003,5,1,1,7,At Risk
CUST1348,14,7,63604.43000000001,5,4,2,11,Loyal Customers
CUST1349,133,2,4528.62,2,1,1,4,Lost / Hibernating
CUST1350,84,8,292032.96,2,5,5,12,Loyal Customers
CUST1351,7,3,88934.31999999999,5,1,3,9,Potential Loyalists
CUST1352,125,5,56406.1,2,2,2,6,At Risk
CUST1353,125,10,194764.40000000002,2,5,5,12,Loyal Customers
CUST1354,88,7,166641.66,2,4,5,11,Loyal Customers
CUST1355,190,5,139135.94,1,2,4,7,At Risk
CUST1356,54,6,275828.66000000003,3,3,5,11,Loyal Customers
CUST1357,14,8,172008.14,5,5,5,15,Champions
CUST1358,131,7,76997.01,2,4,3,9,Potential Loyalists
CUST1359,161,5,86824.76000000001,1,2,3,6,At Risk
CUST1360,141,5,127432.31,2,2,4,8,Potential Loyalists
CUST1361,261,2,49383.45,1,1,2,4,Lost / Hibernating
CUST1362,2,6,48337.37,5,3,2,10,Loyal Customers
CUST1363,16,7,57024.08,5,4,2,11,Loyal Customers
CUST1364,43,6,57042.049999999996,4,3,2,9,Potential Loyalists
CUST1365,240,4,73624.85,1,2,2,5,Lost / Hibernating
CUST1366,11,7,125845.28,5,4,4,13,Champions
CUST1367,23,9,128513.14,4,5,4,13,Champions
CUST1368,118,9,132885.11000000002,2,5,4,11,Loyal Customers
CUST1369,95,7,180552.34,2,4,5,11,Loyal Customers
CUST1370,42,6,101076.04000000001,4,3,3,10,Loyal Customers
CUST1371,92,9,132208.68,2,5,4,11,Loyal Customers
CUST1372,37,6,104858.65,4,3,3,10,Loyal Customers
CUST1373,63,6,85033.65,3,3,3,9,Potential Loyalists
CUST1374,279,3,20949.9,1,1,1,3,Lost / Hibernating
CUST1375,64,4,42468.28,3,2,1,6,At Risk
CUST1376,83,2,3003.96,3,1,1,5,Lost / Hibernating
CUST1377,34,5,52642.65,4,2,2,8,Potential Loyalists
CUST1378,79,2,46303.72,3,1,2,6,At Risk
CUST1379,17,5,118028.71,5,2,4,11,Loyal Customers
CUST1380,42,4,81667.41,4,2,3,9,Potential Loyalists
CUST1381,509,1,633.02,1,1,1,3,Lost / Hibernating
CUST1382,237,2,18118.16,1,1,1,3,Lost / Hibernating
CUST1383,41,5,143429.56,4,2,4,10,Loyal Customers
CUST1384,45,8,91301.98,3,5,3,11,Loyal Customers
CUST1385,65,8,74383.68000000001,3,5,3,11,Loyal Customers
CUST1386,140,6,55580.46000000001,2,3,2,7,At Risk
CUST1387,60,3,193176.25,3,1,5,9,Potential Loyalists
CUST1388,52,4,37239.880000000005,3,2,1,6,At Risk
CUST1389,108,4,76110.13,2,2,3,7,At Risk
CUST1390,28,9,319883.39,4,5,5,14,Champions
CUST1391,127,7,159296.12,2,4,4,10,Loyal Customers
CUST1392,152,3,72867.35999999999,1,1,2,4,Lost / Hibernating
CUST1393,143,6,232572.61,2,3,5,10,Loyal Customers
CUST1394,7,8,67848.34,5,5,2,12,Loyal Customers
CUST1395,7,5,72313.09,5,3,2,10,Loyal Customers
CUST1396,94,9,83082.7,2,5,3,10,Loyal Customers
CUST1397,484,1,2106.6,1,1,1,3,Lost / Hibernating
CUST1398,210,2,149789.65,1,1,4,6,At Risk
CUST1399,23,5,108443.73,4,3,3,10,Loyal Customers
CUST1400,144,4,89542.89,2,2,3,7,At Risk
CUST1401,311,6,59037.24,1,3,2,6,At Risk
CUST1402,144,4,58389.100000000006,2,2,2,6,At Risk
CUST1403,272,3,28579.97,1,1,1,3,Lost / Hibernating
CUST1404,154,5,141771.22,1,3,4,8,Potential Loyalists
CUST1405,21,10,257190.48,4,5,5,14,Champions
CUST1406,63,3,20352.26,3,1,1,5,Lost / Hibernating
CUST1407,88,7,53258.29,2,4,2,8,Potential Loyalists
CUST1408,77,7,284812.63,3,4,5,12,Loyal Customers
CUST1409,93,5,60682.28,2,3,2,7,At Risk
CUST1410,48,7,85019.7,3,4,3,10,Loyal Customers
CUST1411,12,4,43490.88,5,2,1,8,Potential Loyalists
CUST1412,44,5,39024.85,3,3,1,7,At Risk
CUST1413,83,3,25474.5,3,1,1,5,Lost / Hibernating
CUST1414,38,10,171128.19,4,5,5,14,Champions
CUST1415,47,5,177979.03,3,3,5,11,Loyal Customers
CUST1416,45,12,333933.46,3,5,5,13,Champions
CUST1417,109,7,79142.76,2,4,3,9,Potential Loyalists
CUST1418,69,4,91814.75,3,2,3,8,Potential Loyalists
CUST1419,29,7,53800.79,4,4,2,10,Loyal Customers
CUST1420,73,7,80897.55,3,4,3,10,Loyal Customers
CUST1421,252,1,1614.47,1,1,1,3,Lost / Hibernating
CUST1422,96,2,1630.4900000000002,2,1,1,4,Lost / Hibernating
CUST1423,41,6,102838.91,4,3,3,10,Loyal Customers
CUST1424,10,5,152900.79,5,3,4,12,Loyal Customers
CUST1425,128,7,73862.27,2,4,2,8,Potential Loyalists
CUST1426,33,8,167924.51,4,5,5,14,Champions
CUST1427,5,8,162232.68,5,5,4,14,Champions
CUST1428,47,7,148547.38999999998,3,4,4,11,Loyal Customers
CUST1429,31,6,50395.18,4,3,2,9,Potential Loyalists
CUST1430,36,5,69283.68,4,3,2,9,Potential Loyalists
CUST1431,11,7,103562.92,5,4,3,12,Loyal Customers
CUST1432,235,3,67309.3,1,1,2,4,Lost / Hibernating
CUST1433,10,6,134735.82,5,3,4,12,Loyal Customers
CUST1434,136,4,24280.02,2,2,1,5,Lost / Hibernating
CUST1435,105,6,181564.08,2,3,5,10,Loyal Customers
CUST1436,144,6,83507.95999999999,2,3,3,8,Potential Loyalists
CUST1437,9,5,45803.14,5,3,2,10,Loyal Customers
CUST1438,310,6,68180.87,1,3,2,6,At Risk
CUST1439,41,6,171382.76,4,3,5,12,Loyal Customers
CUST1440,125,4,49037.19,2,2,2,6,At Risk
CUST1441,191,7,168776.29,1,4,5,10,Loyal Customers
CUST1442,1,3,31766.28,5,1,1,7,At Risk
CUST1443,110,7,149314.31,2,4,4,10,Loyal Customers
CUST1444,33,6,81885.42,4,3,3,10,Loyal Customers
CUST1445,38,6,42055.95,4,3,1,8,Potential Loyalists
CUST1446,139,5,35849.88,2,3,1,6,At Risk
CUST1447,284,3,17170.22,1,1,1,3,Lost / Hibernating
CUST1448,21,7,93991.68,4,4,3,11,Loyal Customers
CUST1449,1,8,178100.01,5,5,5,15,Champions
CUST1450,139,4,51461.229999999996,2,2,2,6,At Risk
CUST1451,2,10,121209.07,5,5,4,14,Champions
CUST1452,122,6,36090.92,2,3,1,6,At Risk
